,,,FPKMs,,,,,,,,,,,,,
,,,"Group 1 (B11, 1 ug dox)",,,"Group 2 (B11, 10 ug dox)",,,,,,,,,,
,Selected by,,NRAS G12V/+,,,NRAS G12V/+,,,,,,,,Rankings,,
Gene Name,DELV?,SRMM?,S13,S14,S15,S16,S17,S18,Avg Grp 1,Avg Grp 2,Fold Chg,Abs Fold Chg,Abs Diff,Abs Fold Chg,Abs Diff,Weighted
MPEG1,,Yes,6.739,5.880,5.028,0.056,0.110,0.045,5.882,0.070,-83.945,83.945,5.812,1,142,15.1
IFI27,,Yes,2.755,7.605,14.609,0.364,0.218,0.765,8.323,0.449,-18.544,18.544,7.874,5,117,16.2
TRIM22,,Yes,17.501,20.096,15.880,2.729,0.302,0.509,17.825,1.180,-15.108,15.108,16.645,12,60,16.8
SIGLEC1,Yes,Yes,9.853,9.935,9.315,0.645,0.574,0.374,9.701,0.531,-18.271,18.271,9.170,8,102,17.4
OAS3,Yes,Yes,18.362,17.498,14.707,1.157,1.228,1.360,16.856,1.248,-13.506,13.506,15.608,15,63,19.8
OAS1,Yes,Yes,28.118,30.590,21.313,3.049,3.063,1.959,26.674,2.691,-9.914,9.914,23.983,18,41,20.3
PDE3B,Yes,Yes,8.809,8.366,8.422,0.632,0.474,0.524,8.532,0.543,-15.705,15.705,7.989,10,115,20.5
PLGRKT,Yes,Yes,18.595,13.843,17.879,1.342,1.177,1.932,16.772,1.484,-11.303,11.303,15.288,16,67,21.1
IFIT3,,Yes,11.164,11.989,10.592,0.572,2.036,0.424,11.248,1.011,-11.130,11.130,10.238,17,91,24.4
G0S2,Yes,Yes,57.192,51.793,54.224,6.421,8.272,6.667,54.403,7.120,-7.641,7.641,47.283,25,29,25.4
PRKCH,,Yes,0.110,0.155,0.237,3.772,3.366,2.857,0.167,3.332,19.903,19.903,3.164,4,220,25.6
SCIMP,,Yes,3.193,3.168,3.898,0.120,0.252,0.183,3.420,0.185,-18.477,18.477,3.234,6,216,27.0
NLRP12,Yes,Yes,4.684,4.936,4.511,0.397,0.319,0.213,4.710,0.310,-15.216,15.216,4.401,11,173,27.2
IFI44L,,Yes,1.616,3.947,1.462,0.084,0.089,0.074,2.342,0.082,-28.410,28.410,2.259,3,261,28.8
PLEKHO1,Yes,Yes,2.688,3.553,3.494,0.160,0.245,0.123,3.245,0.176,-18.437,18.437,3.069,7,228,29.1
CFP,,Yes,27.067,28.174,28.355,5.272,4.791,1.737,27.865,3.933,-7.084,7.084,23.932,29,42,30.3
IFI44,Yes,Yes,10.017,9.005,8.627,1.173,1.057,1.118,9.216,1.116,-8.257,8.257,8.100,22,113,31.1
CLEC10A,,Yes,1.804,1.409,2.126,0.050,0.078,0.010,1.779,0.046,-38.737,38.737,1.734,2,304,32.2
TBL1X,,Yes,5.189,1.701,1.232,0.156,0.143,0.183,2.707,0.161,-16.847,16.847,2.547,9,244,32.5
OAS2,Yes,Yes,34.606,34.240,27.749,6.528,3.850,4.659,32.199,5.013,-6.423,6.423,27.186,33,37,33.4
CD14,,Yes,5.425,4.828,5.830,0.674,0.810,0.401,5.361,0.628,-8.533,8.533,4.733,20,166,34.6
GLIPR1,,Yes,2.242,5.030,2.530,0.271,0.189,0.264,3.267,0.242,-13.523,13.523,3.026,14,229,35.5
IFI6,Yes,Yes,156.173,165.242,144.834,27.353,26.874,28.322,155.417,27.516,-5.648,5.648,127.901,42,10,38.8
EPSTI1,Yes,Yes,3.267,3.913,3.221,0.363,0.564,0.415,3.467,0.447,-7.753,7.753,3.020,23,230,43.7
EPN2,,Yes,1.094,0.589,0.567,5.865,7.347,2.378,0.750,5.197,6.931,6.931,4.447,30,169,43.9
ELAC1,Yes,Yes,7.142,6.477,5.311,0.824,1.008,1.045,6.310,0.959,-6.580,6.580,5.351,32,152,44.0
CYBB,Yes,Yes,4.779,3.561,3.585,0.590,0.386,0.591,3.975,0.522,-7.608,7.608,3.452,26,209,44.3
AXL,,Yes,1.756,3.591,1.386,0.265,0.235,0.246,2.244,0.249,-9.030,9.030,1.996,19,285,45.6
NEXN,,Yes,2.665,7.433,1.437,0.501,0.657,0.462,3.845,0.540,-7.120,7.120,3.305,28,214,46.6
IFIT1,Yes,Yes,3.891,4.078,2.862,0.374,0.447,0.629,3.610,0.484,-7.464,7.464,3.127,27,223,46.6
KLHDC7B,Yes,Yes,2.687,2.837,2.939,0.317,0.517,0.259,2.821,0.364,-7.742,7.742,2.456,24,252,46.8
CD53,,Yes,35.549,18.242,37.152,7.856,1.398,7.971,30.314,5.741,-5.280,5.280,24.573,48,39,47.1
SPP1,Yes,Yes,1.001,1.167,1.645,0.080,0.084,0.114,1.271,0.092,-13.764,13.764,1.179,13,354,47.1
SLC7A7,,Yes,3.442,8.727,8.828,0.942,1.859,0.689,6.999,1.163,-6.018,6.018,5.836,38,141,48.3
PARP12,,Yes,3.960,9.918,8.092,1.226,1.181,1.321,7.323,1.243,-5.893,5.893,6.081,39,138,48.9
ADGRG5,,Yes,3.369,7.617,3.651,0.922,0.595,0.891,4.879,0.803,-6.078,6.078,4.076,35,188,50.3
COL23A1,,Yes,0.563,0.635,8.777,17.267,17.059,18.182,3.325,17.503,5.264,5.264,14.178,49,73,51.4
GDAP1,,Yes,1.396,1.884,1.281,0.058,0.418,0.074,1.520,0.183,-8.292,8.292,1.337,21,327,51.6
CLEC12A,,Yes,3.133,2.520,1.623,0.265,0.617,0.183,2.426,0.355,-6.833,6.833,2.071,31,277,55.6
IFIT2,,Yes,6.537,6.356,5.380,0.744,1.977,0.545,6.091,1.088,-5.596,5.596,5.003,45,159,56.4
SIGLEC6,,Yes,2.795,3.363,4.541,0.534,0.856,0.379,3.566,0.590,-6.048,6.048,2.977,37,232,56.5
LY6G5C,,Yes,6.320,1.929,7.601,0.847,0.958,1.007,5.283,0.938,-5.634,5.634,4.346,44,178,57.4
GPR18,,Yes,6.736,5.461,5.401,0.648,1.701,0.873,5.866,1.074,-5.463,5.463,4.792,46,164,57.8
ALOX5,,Yes,1.775,3.316,3.496,0.684,0.516,0.300,2.862,0.500,-5.725,5.725,2.362,40,255,61.5
SLC37A2,Yes,Yes,7.391,7.022,7.314,1.422,1.885,1.068,7.242,1.458,-4.966,4.966,5.784,53,143,62.0
GIPC1,,Yes,2.588,2.727,2.424,7.165,15.187,14.711,2.580,12.354,4.789,4.789,9.775,60,95,63.5
IFITM1,Yes,Yes,56.246,67.136,61.715,11.827,14.218,14.999,61.699,13.681,-4.510,4.510,48.018,68,28,64.0
MYLPF,,Yes,1.447,1.978,1.137,0.140,0.010,0.590,1.521,0.247,-6.167,6.167,1.274,34,339,64.5
C1orf162,,Yes,25.221,25.989,28.988,4.914,3.369,9.351,26.732,5.878,-4.548,4.548,20.854,67,50,65.3
RSAD2,,Yes,3.311,3.492,2.698,0.776,0.222,0.742,3.167,0.580,-5.461,5.461,2.587,47,241,66.4
LPO,Yes,Yes,7.015,4.843,4.861,1.169,1.001,1.227,5.573,1.132,-4.921,4.921,4.441,55,170,66.5
AKR1C2,Yes,Yes,34.428,34.903,33.446,162.721,124.353,165.940,34.259,151.005,4.408,4.408,116.746,73,11,66.8
HERC6,Yes,Yes,1.680,1.587,1.052,0.328,0.177,0.206,1.440,0.237,-6.076,6.076,1.203,36,351,67.5
TLR4,,Yes,1.362,1.917,1.175,0.101,0.526,0.159,1.485,0.262,-5.665,5.665,1.223,41,347,71.6
IRF7,Yes,Yes,36.451,43.920,46.622,9.322,10.340,9.908,42.331,9.857,-4.295,4.295,32.474,77,35,72.8
SERPINB2,Yes,Yes,4.415,4.790,4.400,19.469,19.720,20.717,4.535,19.969,4.404,4.404,15.434,74,66,73.2
OGDH,Yes,Yes,6.181,6.119,6.434,20.318,29.234,31.405,6.245,26.986,4.321,4.321,20.741,76,51,73.5
SH3BP5,,Yes,4.354,3.984,4.021,2.112,0.245,0.191,4.120,0.849,-4.851,4.851,3.270,58,215,73.7
CD300LB,Yes,Yes,2.036,2.205,2.984,0.340,0.636,0.415,2.408,0.464,-5.192,5.192,1.944,50,291,74.1
ASGR2,Yes,Yes,3.060,5.651,3.995,0.936,0.570,1.124,4.235,0.876,-4.833,4.833,3.359,59,211,74.2
RIPK1,,Yes,6.709,6.505,6.145,1.323,0.488,2.392,6.453,1.401,-4.606,4.606,5.052,66,157,75.1
RHBDD1,Yes,Yes,4.186,2.346,2.776,0.465,0.777,0.653,3.103,0.632,-4.911,4.911,2.471,56,251,75.5
SYT17,Yes,Yes,1.994,2.458,2.255,0.536,0.453,0.343,2.236,0.444,-5.036,5.036,1.792,51,299,75.8
SMURF1,Yes,Yes,1.128,1.129,1.148,6.584,3.307,5.932,1.135,5.274,4.647,4.647,4.139,64,186,76.2
AKR1C4,,Yes,0.316,0.127,0.171,1.188,1.166,1.108,0.205,1.154,5.636,5.636,0.949,43,377,76.4
NSL1,,Yes,21.122,27.963,26.720,3.338,3.762,10.771,25.268,5.957,-4.242,4.242,19.312,80,54,77.4
C3AR1,Yes,Yes,2.606,2.401,2.282,0.475,0.599,0.397,2.430,0.490,-4.958,4.958,1.940,54,292,77.8
OASL,Yes,Yes,6.840,5.661,6.969,1.258,1.968,1.096,6.490,1.441,-4.505,4.505,5.049,69,158,77.9
AKR1C1,Yes,Yes,5.262,5.629,5.728,27.365,20.403,22.021,5.540,23.263,4.199,4.199,17.723,82,57,79.5
SRR,Yes,Yes,1.308,1.659,1.370,6.871,5.784,6.613,1.445,6.423,4.443,4.443,4.977,71,160,79.9
CACNB1,Yes,Yes,0.710,1.174,0.725,3.398,5.102,3.608,0.869,4.036,4.642,4.642,3.167,65,219,80.4
NUPR1,,Yes,2.102,2.372,3.662,0.382,0.990,0.334,2.712,0.569,-4.769,4.769,2.143,61,270,81.9
ARTN,,Yes,26.700,34.667,22.142,12.108,4.244,3.918,27.836,6.757,-4.120,4.120,21.079,86,49,82.3
FKBP11,Yes,Yes,4.404,4.584,5.577,1.091,1.283,0.865,4.855,1.080,-4.495,4.495,3.775,70,201,83.1
FBXO39,Yes,,1.281,0.783,1.289,0.145,0.254,0.276,1.118,0.225,-4.966,4.966,0.893,52,379,84.7
CD101,,Yes,1.118,1.085,2.656,0.455,0.240,0.303,1.620,0.333,-4.870,4.870,1.287,57,337,85.0
PILRA,,Yes,4.762,5.418,5.357,2.959,0.308,0.282,5.179,1.183,-4.376,4.376,3.995,75,195,87.0
B3GNT10,,Yes,2.347,1.719,1.118,0.674,0.235,0.182,1.728,0.364,-4.748,4.748,1.364,62,322,88.0
CMPK2,,Yes,6.491,7.759,6.048,2.480,0.412,1.911,6.766,1.601,-4.227,4.227,5.165,81,155,88.4
SH2D3C,,Yes,8.760,9.284,9.542,1.370,3.856,1.443,9.195,2.223,-4.137,4.137,6.972,85,130,89.5
PRG2,Yes,Yes,2.808,2.452,2.683,10.950,12.021,9.559,2.648,10.844,4.096,4.096,8.196,88,112,90.4
LRTOMT,,Yes,1.916,4.029,2.723,0.720,0.616,0.616,2.889,0.651,-4.440,4.440,2.238,72,263,91.1
PTGDS,,Yes,5.315,3.965,3.345,0.840,0.643,1.460,4.209,0.981,-4.289,4.289,3.227,78,218,92.0
CCL2,Yes,Yes,1.152,1.343,1.531,0.310,0.341,0.199,1.342,0.283,-4.736,4.736,1.059,63,366,93.3
NFE2,,Yes,10.701,11.243,9.841,3.578,3.428,0.971,10.595,2.659,-3.985,3.985,7.936,95,116,97.1
PPP1R27,Yes,Yes,373.949,392.389,390.778,1450.626,1423.040,1508.141,385.705,1460.602,3.787,3.787,1074.897,108,2,97.4
EPC1,Yes,Yes,7.098,5.881,5.545,1.656,1.565,1.342,6.175,1.521,-4.059,4.059,4.653,90,168,97.8
ISG15,Yes,Yes,101.771,114.826,94.219,26.800,29.954,24.717,103.605,27.157,-3.815,3.815,76.448,107,16,97.9
RPL7,Yes,Yes,215.132,211.865,214.855,790.142,800.450,833.821,213.951,808.138,3.777,3.777,594.187,109,3,98.4
SLC6A9,,Yes,9.373,11.550,12.839,3.613,4.065,0.868,11.254,2.849,-3.950,3.950,8.405,99,108,99.9
ICAM1,,Yes,1.869,2.513,2.661,0.703,0.596,0.344,2.348,0.548,-4.286,4.286,1.800,79,298,100.9
SH2B3,,Yes,19.548,20.767,20.073,3.809,4.322,7.652,20.129,5.261,-3.826,3.826,14.868,106,69,102.3
CASP4,Yes,Yes,51.867,49.943,48.652,18.350,11.362,10.870,50.154,13.527,-3.708,3.708,36.627,112,33,104.1
SAMD9L,Yes,Yes,11.343,8.299,11.936,2.516,2.608,3.089,10.526,2.738,-3.845,3.845,7.788,104,119,105.5
TXNIP,Yes,Yes,274.351,277.346,275.882,80.840,80.538,66.163,275.860,75.847,-3.637,3.637,200.013,117,7,106.0
SPNS3,Yes,Yes,20.992,20.184,19.336,6.092,3.548,6.508,20.171,5.383,-3.747,3.747,14.788,110,70,106.0
FGD2,Yes,Yes,13.249,17.713,20.378,5.362,3.321,5.199,17.113,4.627,-3.698,3.698,12.486,113,83,110.0
MOCOS,Yes,Yes,0.431,0.488,0.459,1.328,2.059,2.287,0.459,1.891,4.118,4.118,1.432,87,317,110.0
ARRDC4,Yes,Yes,5.842,5.338,5.003,1.287,1.698,1.153,5.394,1.380,-3.910,3.910,4.015,102,193,111.1
POC1B,Yes,Yes,0.888,0.559,0.621,2.672,2.176,3.464,0.689,2.771,4.021,4.021,2.081,93,275,111.2
SGCG,,Yes,1.559,1.104,1.419,0.155,0.409,0.414,1.361,0.326,-4.175,4.175,1.035,83,367,111.4
SIRPD,,Yes,1.458,1.315,1.261,0.204,0.413,0.353,1.345,0.323,-4.158,4.158,1.021,84,368,112.4
GNAI1,,Yes,0.628,0.635,0.522,2.624,1.440,3.127,0.595,2.397,4.029,4.029,1.802,92,297,112.5
CYP4V2,Yes,Yes,4.358,3.334,2.416,0.848,0.854,0.842,3.369,0.848,-3.973,3.973,2.521,98,247,112.9
VIT,,Yes,1.975,1.512,2.510,0.798,0.576,0.107,1.999,0.494,-4.048,4.048,1.505,91,312,113.1
CX3CR1,Yes,Yes,8.697,8.580,8.263,2.390,2.559,1.873,8.513,2.274,-3.744,3.744,6.239,111,137,113.6
IFI16,,Yes,12.664,8.782,9.520,2.780,1.121,4.611,10.322,2.837,-3.638,3.638,7.485,116,122,116.6
FBXO36,Yes,,0.205,0.334,0.331,1.165,0.953,1.425,0.290,1.181,4.072,4.072,0.891,89,380,118.1
S1PR3,,Yes,0.468,0.456,0.470,1.974,1.119,2.448,0.465,1.847,3.976,3.976,1.383,97,319,119.2
SPIB,Yes,Yes,2.573,1.295,1.324,0.345,0.527,0.432,1.731,0.434,-3.983,3.983,1.296,96,335,119.9
AMH,,Yes,1.459,1.529,1.647,0.388,0.596,0.179,1.545,0.387,-3.990,3.990,1.158,94,359,120.5
CSF1R,Yes,Yes,36.199,34.054,33.158,11.969,10.302,8.521,34.470,10.264,-3.358,3.358,24.206,130,40,121.0
SLC2A6,Yes,Yes,7.349,8.466,8.229,2.359,2.152,2.302,8.015,2.271,-3.530,3.530,5.744,119,144,121.5
IRF9,Yes,Yes,35.776,35.854,35.429,9.103,14.383,8.778,35.687,10.754,-3.318,3.318,24.932,132,38,122.6
PRKAR1B,,Yes,0.499,0.526,0.321,1.744,1.133,2.419,0.449,1.765,3.932,3.932,1.316,100,333,123.3
PRR22,,Yes,1.932,1.873,2.511,0.854,0.512,0.279,2.105,0.548,-3.840,3.840,1.557,105,309,125.4
ZNF98,,Yes,2.371,2.806,0.036,5.843,5.338,6.997,1.738,6.059,3.486,3.486,4.321,120,180,126.0
UNC5A,Yes,Yes,0.418,0.555,0.351,1.479,1.660,1.969,0.441,1.703,3.857,3.857,1.261,103,340,126.7
MCM8,Yes,Yes,1.290,1.059,1.247,4.310,3.711,4.853,1.199,4.291,3.579,3.579,3.092,118,227,128.9
LILRB2,Yes,,0.949,1.144,1.410,0.265,0.305,0.323,1.167,0.298,-3.920,3.920,0.870,101,384,129.3
CSF2RA,Yes,Yes,22.319,23.388,15.861,8.399,5.656,4.733,20.522,6.263,-3.277,3.277,14.260,136,72,129.6
SLC43A2,Yes,Yes,2.773,3.137,2.916,0.882,0.946,0.597,2.942,0.808,-3.640,3.640,2.134,115,271,130.6
MYD88,Yes,Yes,19.427,20.116,18.697,5.831,6.405,5.664,19.414,5.967,-3.254,3.254,13.447,138,79,132.1
IPCEF1,,Yes,7.777,3.354,4.308,1.447,1.823,1.203,5.146,1.491,-3.451,3.451,3.655,125,203,132.8
HIVEP3,,Yes,2.470,1.767,2.948,1.147,0.666,0.141,2.395,0.651,-3.678,3.678,1.744,114,303,132.9
GAPT,,Yes,12.117,7.790,8.488,3.860,3.325,1.412,9.465,2.866,-3.303,3.303,6.599,133,133,133.0
AKR1C3,Yes,Yes,39.950,47.257,47.056,140.742,135.208,149.343,44.755,141.764,3.168,3.168,97.010,148,12,134.4
SH3PXD2B,,Yes,0.980,0.730,0.942,2.759,4.738,1.717,0.884,3.072,3.475,3.475,2.188,122,266,136.4
MS4A4E,Yes,Yes,5.798,10.865,6.485,2.237,2.208,2.633,7.716,2.359,-3.270,3.270,5.357,137,151,138.4
SLC2A8,,Yes,3.750,5.471,5.584,1.279,0.941,2.194,4.935,1.471,-3.354,3.354,3.463,131,208,138.7
CHAC1,Yes,Yes,46.302,51.893,49.588,16.430,16.476,14.189,49.261,15.699,-3.138,3.138,33.562,151,34,139.3
CRTC1,Yes,Yes,2.447,2.668,3.446,0.751,0.934,0.783,2.853,0.823,-3.468,3.468,2.031,124,282,139.8
ATF3,,Yes,5.031,7.099,4.977,0.366,2.206,2.627,5.702,1.733,-3.290,3.290,3.969,134,197,140.3
C3orf18,Yes,Yes,0.642,1.132,0.793,2.647,3.731,2.455,0.856,2.944,3.440,3.440,2.088,126,273,140.7
PPP1R32,,Yes,1.323,1.765,1.645,5.372,7.149,3.041,1.577,5.187,3.288,3.288,3.610,135,205,142.0
IL1RN,Yes,Yes,9.163,10.742,10.962,3.774,2.605,3.313,10.289,3.231,-3.185,3.185,7.058,144,127,142.3
REC8,Yes,Yes,9.721,10.159,13.930,4.193,4.193,2.246,11.270,3.544,-3.180,3.180,7.726,145,120,142.5
DDX60,,Yes,3.886,1.440,1.310,0.615,0.731,0.599,2.212,0.648,-3.411,3.411,1.563,127,308,145.1
CCDC121,Yes,Yes,2.288,1.546,1.301,0.390,0.498,0.592,1.712,0.494,-3.468,3.468,1.218,123,349,145.6
